fact,k_s,pzt,pzm,fnlt,fnlm
4.259895212527099848e-04,2.137655097743938470e-01,2.099160053930106764e-09,2.099558550598993834e-09,-3.775886132231943276e-02,9.237035150511777731e-03
4.270635178884214789e-04,2.143044512902642640e-01,2.099165366229241501e-09,2.099562106011598364e-09,-3.766823336321212246e-02,9.267038364064653436e-03
4.281402222639151488e-04,2.148447515751794601e-01,2.099186944402863283e-09,2.099583151929840982e-09,-3.756929852857708585e-02,9.297112371747209142e-03
4.292196412058929046e-04,2.153864140548420181e-01,2.099217248653687936e-09,2.099615225801341519e-09,-3.754445439497249015e-02,9.327254955592029217e-03
4.303017815582677692e-04,2.159294421635912509e-01,2.099250930613116580e-09,2.099650869101113820e-09,-3.751907497974748401e-02,9.357463043967678348e-03
4.313866501822075723e-04,2.164738393444251008e-01,2.099286187414525277e-09,2.099682270055759326e-09,-3.758982689183271164e-02,9.387733212547627604e-03
4.324742539561785351e-04,2.170196090490219831e-01,2.099303073218363107e-09,2.099701945445447490e-09,-3.739672146188317142e-02,9.418061997497131910e-03
4.335645997759885297e-04,2.175667547377625188e-01,2.099307165581750694e-09,2.099703401840400293e-09,-3.743773170354834645e-02,9.448446150076183353e-03
4.346576945548310980e-04,2.181152798797516279e-01,2.099281140162385402e-09,2.099681717295899575e-09,-3.734328657315454797e-02,9.478883167480153457e-03
4.357535452233292535e-04,2.186651879528404563e-01,2.099238246744196989e-09,2.099633989892475937e-09,-3.749630496489445020e-02,9.509372252528380462e-03
4.368521587295792286e-04,2.192164824436484694e-01,2.099160983179875669e-09,2.099559615831084261e-09,-3.730262618337726321e-02,9.539910048518035479e-03
4.379535420391947645e-04,2.197691668475854898e-01,2.099064389869730945e-09,2.099460352050539187e-09,-3.746481859932253300e-02,9.570500312833497836e-03
4.390577021353511840e-04,2.203232446688739854e-01,2.098943541429788558e-09,2.099340183267409210e-09,-3.728872196274541501e-02,9.601144032290776648e-03
4.401646460188295184e-04,2.208787194205710236e-01,2.098806486414369732e-09,2.099204972434059976e-09,-3.722029893946528223e-02,9.631844483523293102e-03
4.412743807080612307e-04,2.214355946245909201e-01,2.098664347707946226e-09,2.099061940595014533e-09,-3.726493451787953742e-02,9.662605929517217862e-03
4.423869132391723973e-04,2.219938738117273047e-01,2.098526056286361076e-09,2.098919014764181439e-09,-3.732624620162743739e-02,9.693433203975946807e-03
4.435022506660284852e-04,2.225535605216755197e-01,2.098387640420706604e-09,2.098784103121833945e-09,-3.720810338136699286e-02,9.724331355953290401e-03
4.446204000602789670e-04,2.231146583030552133e-01,2.098264538751399103e-09,2.098664362339162396e-09,-3.716881122512624008e-02,9.755305518223600023e-03
4.457413685114022610e-04,2.236771707134326270e-01,2.098167946307804653e-09,2.098565526411537334e-09,-3.708895647531055412e-02,9.786359985032522246e-03
4.468651631267502923e-04,2.242411013193431890e-01,2.098091479642879366e-09,2.098491359932449658e-09,-3.707607793836125570e-02,9.817498249334798491e-03
4.479917910315950585e-04,2.248064536963147453e-01,2.098045280758954211e-09,2.098443289636390033e-09,-3.717587537572772383e-02,9.848722511165908938e-03
4.491212593691715107e-04,2.253732314288891536e-01,2.098021564393942138e-09,2.098420252534002413e-09,-3.701460709597353266e-02,9.880033612893779002e-03
4.502535753007242823e-04,2.259414381106456537e-01,2.098019805947934526e-09,2.098418778339066641e-09,-3.708797369088524115e-02,9.911430846631609157e-03
4.513887460055528459e-04,2.265110773442236269e-01,2.098031723355266923e-09,2.098433302817499153e-09,-3.695894681022186129e-02,9.942912268689088270e-03
4.525267786810570499e-04,2.270821527413453278e-01,2.098057445943701599e-09,2.098456685607299697e-09,-3.693964665070494091e-02,9.974474658643201277e-03
4.536676805427826008e-04,2.276546679228388104e-01,2.098082524985033237e-09,2.098480886517686678e-09,-3.688834478927337235e-02,1.000611413157715020e-02
4.548114588244669249e-04,2.282286265186608820e-01,2.098095971223240543e-09,2.098497737300314510e-09,-3.681039788251610351e-02,1.003782641179313054e-02
4.559581207780850844e-04,2.288040321679202238e-01,2.098100413912520032e-09,2.098499735422499765e-09,-3.685197405737662690e-02,1.006960731790038088e-02
4.571076736738955847e-04,2.293808885189002333e-01,2.098083311575384416e-09,2.098480782572437547e-09,-3.682172843657291472e-02,1.010145328466132732e-02
4.582601248004866158e-04,2.299591992290823950e-01,2.098034010559294364e-09,2.098436793288179434e-09,-3.683549993331921429e-02,1.013336274792799377e-02
4.594154814648221310e-04,2.305389679651692336e-01,2.097970291921307498e-09,2.098366117192448650e-09,-3.683360768563347099e-02,1.016533200652401485e-02
4.605737509922884672e-04,2.311201984031078793e-01,2.097869512348446413e-09,2.098269712506388465e-09,-3.673468469353759203e-02,1.019736413637592487e-02
4.617349407267403155e-04,2.317028942281130210e-01,2.097750194682729767e-09,2.098151077199618594e-09,-3.674406258505211881e-02,1.022946044444156787e-02
4.628990580305478294e-04,2.322870591346905822e-01,2.097616321746614803e-09,2.098015912803749715e-09,-3.664589359011363040e-02,1.026162459126294529e-02
4.640661102846427581e-04,2.328726968266608410e-01,2.097472342010064065e-09,2.097871566550629216e-09,-3.663227777843369032e-02,1.029386156620276313e-02
4.652361048885657714e-04,2.334598110171822727e-01,2.097323680156467630e-09,2.097726299183257179e-09,-3.656055611691708118e-02,1.032617710356664026e-02
4.664090492605128639e-04,2.340484054287746973e-01,2.097189380161552511e-09,2.097588450513335791e-09,-3.647576122705559198e-02,1.035857747537737537e-02
4.675849508373829512e-04,2.346384837933432610e-01,2.097066251064697793e-09,2.097465586814031769e-09,-3.659675659098724637e-02,1.039106849839579669e-02
4.687638170748243283e-04,2.352300498522017502e-01,2.096965064712671665e-09,2.097363717055125257e-09,-3.655722391405560184e-02,1.042365553590983256e-02
4.699456554472826995e-04,2.358231073560966284e-01,2.096893676437557721e-09,2.097286660669968643e-09,-3.644148040981885078e-02,1.045634238226183718e-02
4.711304734480479617e-04,2.364176600652305449e-01,2.096839483370338854e-09,2.097235634604450277e-09,-3.651421227171039452e-02,1.048913153858860650e-02
4.723182785893020722e-04,2.370137117492864265e-01,2.096813584110055472e-09,2.097209107310258461e-09,-3.635310945752929374e-02,1.052202350310962181e-02
4.735090784021664823e-04,2.376112661874511256e-01,2.096808209512170242e-09,2.097202938947526431e-09,-3.640795286019935656e-02,1.055501703220746053e-02
4.747028804367500591e-04,2.382103271684395951e-01,2.096812915076108246e-09,2.097210798852295053e-09,-3.649431622646315959e-02,1.058810929498178385e-02
4.758996922621966819e-04,2.388108984905187859e-01,2.096826415197247360e-09,2.097224819685493407e-09,-3.619999430708616822e-02,1.062129612460792523e-02
4.770995214667336521e-04,2.394129839615318223e-01,2.096842858983054943e-09,2.097236423910389913e-09,-3.639095051101843420e-02,1.065457264774690056e-02
4.783023756577193435e-04,2.400165873989219822e-01,2.096838463398246692e-09,2.097237235918195994e-09,-3.629836987840905776e-02,1.068793378496867008e-02
4.795082624616917749e-04,2.406217126297570674e-01,2.096816670145791882e-09,2.097219984210842975e-09,-3.623004840482026145e-02,1.072137486123647850e-02
4.807171895244163689e-04,2.412283634907534391e-01,2.096778298750785374e-09,2.097179294982757681e-09,-3.623623167190970218e-02,1.075489255607195958e-02
4.819291645109363134e-04,2.418365438283011370e-01,2.096716883099360485e-09,2.097112289499775010e-09,-3.603888725928292708e-02,1.078848460647112255e-02
4.831441951056182605e-04,2.424462574984868890e-01,2.096622464688799623e-09,2.097018916298148393e-09,-3.615648678831024504e-02,1.082215115012633184e-02
4.843622890122031757e-04,2.430575083671197290e-01,2.096507490280229784e-09,2.096901976843610095e-09,-3.620475397464813921e-02,1.085589422141439164e-02
4.855834539538544221e-04,2.436703003097549503e-01,2.096367568607131247e-09,2.096766837947347974e-09,-3.613317588854913359e-02,1.088971752879475986e-02
4.868076976732068750e-04,2.442846372117188636e-01,2.096227046656380659e-09,2.096620855181598329e-09,-3.597670854305127369e-02,1.092362670146261941e-02
4.880350279324159818e-04,2.449005229681333606e-01,2.096074976662698910e-09,2.096472568163772748e-09,-3.610413322257421953e-02,1.095762849828225104e-02
4.892654525132070394e-04,2.455179614839406999e-01,2.095932431494643907e-09,2.096330753318332396e-09,-3.607742334650888144e-02,1.099173000516585029e-02
4.904989792169244705e-04,2.461369566739281256e-01,2.095807667823271101e-09,2.096203438397216257e-09,-3.608529232818838417e-02,1.102593821146853961e-02
4.917356158645813180e-04,2.467575124627529037e-01,2.095701067610358467e-09,2.096096989233617846e-09,-3.590261743114879500e-02,1.106025907874728237e-02
4.929753702969086847e-04,2.473796327849669130e-01,2.095617416914904517e-09,2.096015374454924517e-09,-3.591177694808738580e-02,1.109469716335555536e-02
4.942182503744056059e-04,2.480033215850417638e-01,2.095558702606115391e-09,2.095959694759852360e-09,-3.578056361319029155e-02,1.112925497052182425e-02
4.954642639773891404e-04,2.486285828173940005e-01,2.095530327527904278e-09,2.095928035518946495e-09,-3.586970183221085268e-02,1.116393287181380485e-02
4.967134190060437009e-04,2.492554204464097201e-01,2.095516733799995283e-09,2.095915665442402206e-09,-3.581939069268393755e-02,1.119872898645866456e-02
4.979657233804715786e-04,2.498838384464700246e-01,2.095519316819797106e-09,2.095915564296802521e-09,-3.566415050388013069e-02,1.123363953072090311e-02
4.992211850407432495e-04,2.505138408019762508e-01,2.095517946380687758e-09,2.095919223412808836e-09,-3.568227333308393590e-02,1.126865947643574187e-02
5.004798119469472482e-04,2.511454315073750054e-01,2.095522984271660210e-09,2.095917630971268367e-09,-3.572799341255210315e-02,1.130378296700410186e-02
5.017416120792412334e-04,2.517786145671836451e-01,2.095505603012263584e-09,2.095902327981618103e-09,-3.573488662624257212e-02,1.133900426168080698e-02
5.030065934379021868e-04,2.524133939960158113e-01,2.095467010051093831e-09,2.095866412161251771e-09,-3.550739053697188341e-02,1.137431849603727681e-02
5.042747640433769369e-04,2.530497738186062717e-01,2.095402513975733429e-09,2.095805367974062498e-09,-3.553479372307812023e-02,1.140972562675221687e-02
5.055461319363338752e-04,2.536877580698374546e-01,2.095317656569283378e-09,2.095717628757984036e-09,-3.559965181939538786e-02,1.144521501440162216e-02
5.068207051777128295e-04,2.543273507947639844e-01,2.095208156937726003e-09,2.095604774243285615e-09,-3.554396105298995856e-02,1.148079739394206565e-02
