Nout,K,MPP Pz,PyT Pz,MPP fNL,PyT fNL
11.64,65656.48031747095,1.760295833185137e-07,1.689649283008068e-07,0.034949366628488555,174421.38083717873
11.68,68335.97210494886,1.5554860672597993e-07,1.4930583261805953e-07,0.03515346896186507,174611.7372441205
11.72,71124.81602648806,1.3745387716469392e-07,1.317540037028161e-07,0.03536109830655363,174503.6927919935
11.76,74027.4748273289,1.2145745347656628e-07,1.1642163217168896e-07,0.03557015158287375,174468.54848428094
11.8,77048.59338079914,1.0731893460175049e-07,1.0287634533586889e-07,0.03578164518199766,174354.85939758492
11.84,80193.00612110252,9.482687021578633e-08,9.090272963884918e-08,0.03599650717510534,174928.2713346434
11.88,83465.74477944526,8.378384419286814e-08,8.042118079452431e-08,0.03621188067376037,174586.84903421724
11.92,86872.04643587896,7.402809860816447e-08,7.095887646529892e-08,0.0364309703316584,175076.82514442873
11.96,90417.36189974583,6.54048065622533e-08,6.2693329616943e-08,0.03665250417235014,175052.2769656616
12.0,94107.36443213663,5.778410849805512e-08,5.538763190415583e-08,0.036876048301442366,174793.95510612853
12.04,97947.95882431905,5.105131163535774e-08,4.898586900411791e-08,0.03710143978522238,173407.9478666101
12.08,101945.29084666327,4.510046582775467e-08,4.3198924625181384e-08,0.03733073308342694,174418.8010094465
12.12,106105.75708318516,3.984368493273658e-08,3.81867740671672e-08,0.03756229784961238,175229.9520049467
12.16,110436.01516744574,3.519777421921712e-08,3.3733757064895954e-08,0.03779640568492386,175059.62334839668
12.2,114942.99443618547,3.109261430023947e-08,2.981704261346301e-08,0.03803276511774927,174544.16000308562
12.24,119633.9070177411,2.746602115194928e-08,2.6323484032762965e-08,0.038272448492266666,174439.28994624538
12.28,124516.25937298898,2.426117139730781e-08,2.3265251706312833e-08,0.03851348436093114,173633.4238710976
12.32,129597.86430728449,2.14303316271225e-08,2.053311953857517e-08,0.03875952474747363,174682.82801554527
12.36,134886.85347261748,1.892882848850631e-08,1.813638138938713e-08,0.0390071988674019,174700.25595844295
12.4,140391.69037999018,1.67188168042685e-08,1.604771139098477e-08,0.039257146635701866,174631.2468847734
12.44,146121.1839428396,1.4766597427872119e-08,1.4173813873837838e-08,0.039511651825038366,174520.25556026385
12.48,152084.50257317862,1.3041715575636817e-08,1.2518207697810334e-08,0.0397671987981828,174392.8523674489
12.52,158291.1888530121,1.1518256852370583e-08,1.1041647732554185e-08,0.04002746238320519,172995.93031909238
12.56,164751.17480450298,1.017224920505381e-08,9.751316917200095e-09,0.04029019498844943,173037.9659434253
12.60,171474.79778332604,8.983276122967891e-09,8.61383045724385e-09,0.04055492075736459,174429.04581425383
12.64,178472.81702064286,7.933085324317078e-09,7.603153848092625e-09,0.040824986479061895,174456.87554532103
12.68,185756.4308401677,7.005365196930542e-09,6.7241250848052634e-09,0.04109619548400238,174773.41373947036
12.72,193337.2945778734,6.186053322214742e-09,5.937457956883413e-09,0.04137279238886353,174611.37881348177
12.76,201227.5392330161,5.4622959469077586e-09,5.242752350712355e-09,0.04165135453404767,174591.98718438868
12.8,209439.79088032103,4.823084277363287e-09,4.622356171339977e-09,0.04193328703621208,174772.5352550577
12.84,217987.1908743962,4.258537609792179e-09,4.0828423193620815e-09,0.0422203456024292,174586.35503320087
12.88,226883.41687870398,3.759925707487043e-09,3.6056849463922747e-09,0.042509195569451146,174651.7923182337
12.92,236142.70475274007,3.3196218787863514e-09,3.1819666346444587e-09,0.04280325910322759,175040.9498520763
12.96,245779.87133244463,2.9307388350513915e-09,2.809232064145866e-09,0.04310080871496664,175040.98771032252
13.0,255810.3381403013,2.5873436605556102e-09,2.4800879524627343e-09,0.043400898696206565,175172.64374157233
13.04,266250.15606306447,2.284091049980493e-09,2.189482120230081e-09,0.04370740273664985,174628.78152824193
